LGA_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
LGA20110,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,3,0,8,0,0,0,5,0,4,0,4,0,8,0,21,3,0,0,9,3,8,0,4,0,10,0,39,4,6,0,7,4,18,0,7,0,6,0,58,9,7,0,28,3,21,0,8,0,8,0,79,14,16,0,62,3,28,0,4,3,5,0,138,18,13,0,46,0,19,0,7,0,6,0,102,26,9,3,32,3,13,0,0,3,3,0,83,26,16,3,75,4,16,4,3,3,3,0,158,31,5,0,53,3,9,0,0,0,3,0,114,26,0,0,25,3,0,3,0,0,0,0,56,19,0,0,9,4,5,0,0,0,3,0,40,21,3,0,15,3,0,3,0
LGA20260,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,10,0,0,0,3,0,0,0,7,0,5,0,15,0,5,0,3,0,7,0,9,0,11,0,37,8,6,3,6,0,18,0,7,3,10,0,59,6,8,0,32,0,21,3,8,0,4,0,87,22,9,0,35,3,14,8,8,0,8,0,104,9,7,0,29,6,10,3,3,3,7,0,81,23,4,0,42,3,9,0,5,3,3,0,79,34,4,0,60,4,10,3,3,0,3,0,131,18,0,0,31,8,3,0,0,0,0,0,70,18,0,0,19,0,0,0,0,0,0,0,43,17,0,0,7,0,3,0,0,0,0,0,38,12,0,0,17,0,3,0,0
LGA20570,0,0,0,3,0,0,0,0,0,17,0,32,0,3,0,0,0,0,0,0,0,7,0,19,0,4,0,4,0,0,0,6,3,11,0,31,0,0,0,0,0,0,0,4,0,12,0,17,0,3,0,6,0,5,0,17,0,32,0,62,0,9,0,10,0,20,0,33,0,42,0,115,7,13,0,17,0,58,3,50,3,84,0,237,21,26,0,61,3,134,9,86,10,86,0,441,35,48,8,176,15,225,11,65,21,123,4,731,65,66,7,363,21,231,15,60,15,83,5,927,76,62,13,377,51,253,5,39,10,57,0,942,103,42,3,426,41,184,17,27,8,31,0,879,332,56,16,837,74,263,21,41,10,52,3,1707,334,40,7,548,60,105,7,8,3,9,0,1128,281,23,19,308,34,33,10,7,3,15,0,730,143,11,3,113,17,76,0,7,3,5,0,387,310,22,0,318,40,93,10,18
LGA20660,5,3,3,7,0,3,0,3,6,48,0,79,0,0,0,0,0,0,0,3,0,15,0,19,0,0,0,3,0,6,0,8,0,14,0,29,0,0,0,0,0,0,0,10,0,12,0,30,0,4,0,4,0,8,0,18,0,42,0,70,3,10,0,6,0,25,0,41,3,30,0,122,7,10,0,22,4,60,3,46,4,72,3,235,16,29,3,30,4,114,4,62,6,72,0,341,27,63,0,134,14,232,3,71,7,129,3,684,49,57,4,211,14,252,6,64,14,124,0,795,58,57,5,317,21,278,13,46,8,99,0,908,82,44,0,361,35,269,10,55,18,109,3,991,350,108,14,997,102,564,35,73,16,134,4,2409,435,70,15,999,111,235,27,48,4,57,5,2012,400,41,13,718,96,109,12,31,10,39,0,1473,327,27,14,329,46,274,6,31,7,22,0,1078,933,68,15,1193,125,338,22,47
LGA20740,6,0,0,3,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,4,0,15,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,3,0,3,0,14,0,39,3,9,0,4,0,5,0,12,3,14,0,53,4,8,0,5,0,6,0,11,3,31,0,78,14,14,0,30,3,39,3,29,4,32,0,170,18,34,3,73,5,52,4,48,9,41,0,290,30,29,3,108,8,67,4,27,3,30,0,315,22,18,5,124,5,67,7,16,7,24,0,296,45,10,3,123,8,33,3,12,3,12,0,253,85,22,7,160,18,43,8,7,4,12,0,360,57,9,3,99,10,20,0,0,0,6,0,213,31,3,0,59,10,5,3,0,0,3,0,112,30,0,0,17,5,17,0,0,3,0,0,84,35,4,0,51,3,10,0,4
LGA20830,5,0,0,3,0,0,0,0,0,9,3,20,0,0,0,5,0,4,0,0,0,3,0,12,0,0,0,0,0,0,0,8,0,3,0,20,3,0,0,0,0,4,0,0,0,3,0,10,0,0,0,0,0,4,0,9,0,23,0,37,3,10,0,4,0,5,0,7,0,8,0,43,7,3,3,6,0,13,3,20,3,34,0,100,11,14,0,32,3,83,0,33,8,39,0,225,25,31,8,96,7,130,9,37,11,53,0,402,36,40,5,165,18,141,3,31,11,42,0,490,34,23,3,197,18,145,3,27,0,17,0,464,67,22,3,207,21,101,9,16,4,26,0,482,143,33,12,368,45,146,19,27,6,18,4,815,157,19,6,273,29,53,8,13,5,8,0,575,116,8,4,123,14,27,0,8,3,7,0,312,68,0,3,60,7,38,3,0,3,3,0,180,132,16,5,148,13,47,4,3
LGA20910,4,0,0,7,0,0,0,0,0,28,0,50,3,0,0,3,0,4,0,3,0,8,0,19,0,0,0,0,0,4,0,7,0,7,0,16,0,0,0,0,0,3,0,5,0,8,0,16,0,0,0,0,0,0,0,7,0,17,0,34,0,0,0,4,0,3,3,18,0,21,0,57,8,12,0,7,3,14,0,17,3,37,4,93,6,12,0,13,0,28,3,21,0,30,0,124,15,35,0,50,3,73,4,31,5,45,0,265,30,26,0,72,4,90,0,28,4,49,0,307,39,25,4,111,8,85,0,42,0,47,3,364,56,20,0,160,3,113,0,23,3,43,0,423,165,67,0,417,33,331,9,64,5,66,0,1157,209,61,10,588,54,121,12,47,9,57,0,1168,253,32,12,476,51,79,10,40,3,27,0,983,267,22,7,268,33,672,8,39,12,42,0,1365,1576,115,21,2129,182,779,34,104
LGA21010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,7,0,19,3,0,0,3,0,4,0,0,0,3,0,16,3,0,0,3,0,8,0,10,0,14,0,47,7,3,0,13,3,21,0,7,0,10,0,69,9,13,0,19,3,27,0,17,0,18,3,106,6,8,0,38,3,32,0,7,0,22,0,120,11,0,3,46,0,22,3,3,6,7,0,108,11,3,0,49,6,22,0,0,3,3,0,103,48,6,0,58,11,22,6,3,0,5,4,148,42,3,0,47,13,13,0,0,0,3,0,121,19,0,0,26,0,5,0,0,0,0,0,57,5,0,0,11,0,4,0,0,0,0,0,25,23,0,3,23,0,3,0,0
LGA21110,14,3,3,8,0,15,0,8,0,117,0,166,0,0,0,10,0,7,0,10,0,20,0,42,0,0,0,5,0,5,0,13,0,30,0,64,0,3,0,0,0,14,0,12,3,16,0,50,0,0,0,6,3,16,0,18,3,43,0,89,9,7,0,15,0,28,0,50,8,54,0,168,15,20,0,15,0,49,3,58,7,53,0,215,15,26,0,41,7,107,0,61,4,76,0,336,39,58,4,97,4,178,4,74,4,107,0,573,62,63,3,142,6,172,7,55,9,91,0,617,62,27,3,196,7,196,8,61,5,76,0,648,94,34,7,227,18,230,5,60,13,77,5,769,262,91,7,532,48,564,14,84,22,164,6,1786,373,81,9,723,69,244,14,76,10,81,0,1687,382,72,6,643,64,147,18,52,7,49,0,1445,447,34,9,399,50,710,8,56,13,56,0,1785,2625,224,43,3462,297,1283,61,184
LGA21180,3,0,0,9,0,15,0,12,6,209,3,258,4,4,3,0,0,9,0,11,5,76,0,109,0,8,0,0,0,18,0,45,3,130,4,211,0,0,0,3,0,11,0,55,4,70,0,146,9,15,0,3,0,37,0,101,13,278,4,462,5,21,3,25,0,128,0,183,21,233,3,621,7,56,6,42,7,275,5,192,28,340,11,969,26,77,12,122,14,599,16,267,40,363,11,1542,83,140,7,327,20,798,15,248,68,470,11,2183,199,122,15,478,43,733,36,215,42,397,16,2279,244,93,16,493,47,624,20,146,23,273,6,1999,332,70,15,541,65,449,11,115,24,251,7,1882,916,121,27,966,111,728,34,135,42,324,8,3406,791,86,27,747,94,313,14,58,30,149,4,2313,512,36,8,412,60,156,11,39,5,91,0,1335,343,19,12,191,44,171,4,17,11,33,4,844,509,25,7,401,51,184,13,22
LGA21270,5,0,0,3,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,6,0,15,0,0,0,0,0,0,0,0,0,3,0,10,3,3,0,3,0,3,4,5,0,4,0,27,3,3,0,11,0,8,0,0,0,11,0,38,9,7,0,17,0,14,0,4,0,8,0,55,3,3,0,26,0,16,0,6,4,0,0,56,3,5,0,28,3,12,0,0,0,0,0,54,5,4,0,14,0,4,0,0,0,0,0,33,12,3,0,41,3,9,0,0,0,0,0,72,11,0,0,20,8,4,3,4,0,3,0,47,6,0,0,7,0,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0,0,8,4,0,0,10,0,3,0,0
LGA21370,3,0,0,0,0,0,0,0,0,3,0,15,6,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,4,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,3,0,4,0,5,0,10,0,28,0,3,0,10,0,9,0,7,3,12,0,46,12,3,0,13,0,16,0,19,3,26,0,96,10,14,0,26,7,51,0,30,6,29,0,180,27,19,3,81,5,94,0,25,7,33,0,301,47,23,8,132,25,92,7,27,4,32,3,401,44,12,4,136,11,59,8,9,3,20,4,305,65,6,3,162,16,57,10,9,0,12,0,350,150,26,9,260,18,68,17,8,4,11,0,570,121,7,7,141,19,21,9,3,7,3,0,336,94,6,3,77,8,10,3,3,0,0,0,208,34,4,3,22,5,14,3,0,0,0,0,86,63,4,0,68,9,13,3,3
LGA21450,5,0,0,9,0,5,0,0,5,35,0,57,0,0,0,0,0,0,0,3,0,5,0,14,0,0,0,0,0,3,0,5,3,18,0,37,0,0,0,0,0,4,0,0,0,14,0,19,0,12,0,3,0,9,0,23,0,36,0,76,0,7,0,7,0,23,0,36,3,32,0,108,11,12,0,15,0,67,4,50,5,53,0,226,14,28,3,66,10,175,7,65,8,82,3,470,25,38,7,198,23,378,11,88,18,87,4,889,80,62,12,363,48,415,11,84,16,69,4,1168,109,49,10,461,43,330,14,42,13,43,4,1112,178,54,10,530,40,325,14,37,10,37,3,1229,503,68,13,941,103,379,16,40,25,52,5,2147,451,39,18,706,82,134,15,19,11,22,3,1497,323,15,3,318,47,59,8,5,0,10,4,799,209,12,7,129,14,96,3,3,7,5,0,491,354,18,6,303,21,109,17,5
LGA21610,12,3,4,15,0,23,0,14,3,201,0,278,0,4,0,9,0,9,0,10,0,39,0,79,0,3,0,8,0,25,0,49,3,98,0,190,0,0,0,3,0,21,0,43,0,44,0,114,7,9,0,16,0,49,3,98,8,235,3,428,13,30,0,35,3,143,4,199,24,218,6,669,34,71,7,57,8,408,5,236,49,305,6,1191,38,107,15,208,14,875,17,347,37,356,17,2039,122,223,20,603,51,1460,34,363,82,471,13,3451,341,205,17,1159,96,1396,41,303,64,325,11,3967,494,171,31,1326,102,1247,40,190,44,275,12,3934,698,130,36,1403,121,995,31,137,31,222,8,3820,2154,266,61,2601,318,1484,63,203,53,288,18,7496,1730,142,27,1866,225,529,48,89,29,118,11,4797,1108,42,16,937,120,261,25,40,11,58,6,2612,716,28,22,368,63,333,18,31,16,27,4,1617,1125,39,25,897,101,346,15,29
LGA21670,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,10,4,3,0,3,0,4,0,6,0,12,0,30,0,3,0,0,0,9,0,7,3,23,0,47,10,10,0,12,0,15,0,10,3,23,0,82,3,7,0,27,0,41,4,20,7,27,0,132,11,8,0,40,3,32,6,7,3,13,0,132,16,3,3,43,3,22,0,4,0,13,0,100,13,0,0,36,0,8,0,3,0,6,0,71,31,8,3,64,4,13,0,3,0,11,0,141,30,0,0,26,6,7,0,0,0,0,0,71,13,0,0,15,0,0,0,0,0,0,0,35,3,0,0,0,0,0,0,0,0,0,0,8,9,0,0,11,0,0,0,0
LGA21750,3,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,17,3,0,0,3,0,4,0,13,0,9,0,31,6,3,0,5,0,18,0,3,3,13,4,59,6,11,0,17,3,31,0,16,3,11,0,92,16,17,3,45,4,48,0,21,4,17,0,175,27,12,3,99,9,47,3,5,3,8,4,228,20,4,3,111,8,32,7,8,3,4,0,197,30,11,0,111,8,30,3,6,3,3,0,208,101,9,5,148,18,33,5,9,3,15,0,333,44,5,5,105,8,10,0,3,0,11,0,194,38,4,0,32,4,8,0,0,0,0,3,100,18,0,0,17,0,12,0,0,0,0,0,42,31,0,0,26,3,8,0,0
LGA21830,5,0,0,3,0,4,0,0,0,7,0,17,5,0,0,0,0,0,0,0,0,6,0,9,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,6,10,0,0,3,0,0,0,0,0,10,0,28,4,0,0,7,0,4,0,0,0,3,0,26,12,0,3,9,0,7,0,5,3,15,0,45,8,6,0,16,0,23,3,8,0,12,0,88,30,9,0,50,4,46,0,10,3,18,0,174,26,10,0,63,9,20,0,10,3,6,0,143,26,7,0,48,5,21,3,5,4,8,3,118,26,3,3,76,3,19,0,4,3,3,0,145,61,6,3,109,5,17,3,3,0,3,0,223,59,0,3,59,4,16,0,0,0,3,0,154,27,4,0,28,9,7,0,0,0,0,0,71,15,0,0,15,3,6,0,0,0,0,0,38,38,0,0,39,3,10,0,0
LGA21890,3,0,0,5,0,3,0,3,0,73,3,92,0,0,0,0,0,3,0,4,4,20,0,37,0,0,0,3,0,8,0,18,4,40,0,70,0,0,0,0,0,5,0,13,3,14,0,39,3,7,0,3,0,10,0,41,0,84,3,151,4,7,0,16,0,55,0,68,12,91,0,259,6,35,3,21,0,91,3,82,10,135,3,400,21,52,3,59,3,198,6,124,22,168,9,651,39,78,7,141,5,349,14,119,20,208,3,982,80,91,9,289,26,301,21,71,15,218,8,1125,80,73,7,301,18,281,13,84,14,173,4,1044,129,64,11,349,27,234,19,39,10,135,5,1019,337,139,12,817,72,479,23,76,23,158,5,2154,388,89,11,801,89,166,26,40,6,73,5,1698,324,37,8,585,80,91,9,19,7,52,0,1225,265,21,12,264,68,228,4,21,9,25,0,920,755,59,21,1023,125,258,22,31
LGA22110,4,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,3,0,12,0,5,0,3,0,0,0,3,0,8,0,15,0,0,0,0,0,0,0,4,0,5,0,7,0,0,0,4,0,3,0,4,0,20,0,36,0,6,0,0,0,7,0,14,0,14,0,55,16,11,3,7,3,34,3,21,0,42,0,141,4,24,6,42,0,54,4,49,0,49,0,237,20,35,4,108,8,112,6,39,5,49,3,401,41,32,3,169,12,82,11,35,9,38,3,436,41,25,3,177,19,71,13,16,4,32,0,394,49,16,5,148,8,52,5,6,0,13,0,308,108,19,5,230,41,73,10,18,6,24,0,525,89,14,8,128,25,13,11,7,3,6,0,302,61,8,3,49,11,4,0,0,0,5,0,137,43,0,0,29,6,8,0,0,0,0,0,90,43,3,3,53,3,15,8,8
LGA22170,3,0,0,8,0,9,0,0,0,37,0,60,3,0,0,0,0,3,0,5,0,12,0,26,0,0,0,5,0,4,3,12,0,22,0,40,0,3,0,0,0,4,0,4,0,12,0,21,0,3,0,3,0,8,0,16,0,48,0,79,5,6,0,7,0,33,0,43,3,52,0,152,9,15,0,28,3,74,0,56,0,96,0,294,13,36,3,79,14,206,3,80,17,116,4,564,32,66,3,195,17,398,8,107,27,140,9,1002,72,80,8,419,48,428,13,68,19,109,5,1267,99,64,12,524,48,384,18,54,20,91,7,1320,182,56,21,560,54,348,16,49,10,68,3,1354,583,75,22,1158,127,496,29,71,17,86,9,2680,524,48,12,918,90,203,24,45,11,40,0,1930,413,29,14,448,57,92,20,19,0,26,0,1112,278,10,8,190,26,122,8,0,7,14,0,669,446,22,9,412,44,144,9,17
LGA22250,4,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,14,3,0,0,3,0,5,0,0,0,3,0,19,0,3,0,9,0,5,0,12,0,4,0,35,12,3,0,19,3,23,0,7,0,11,0,69,10,0,0,32,0,31,0,8,3,6,0,96,17,3,0,45,0,17,0,5,0,12,0,102,11,9,0,37,3,14,0,0,0,3,0,79,26,3,0,39,4,12,0,8,0,7,0,93,33,7,3,50,10,19,0,7,0,3,0,134,19,0,6,38,3,3,4,0,0,0,0,78,17,0,0,14,0,3,3,0,0,0,0,36,8,0,0,5,0,0,0,0,0,0,0,16,12,0,0,17,0,9,0,0
LGA22310,3,0,0,3,0,3,0,6,4,61,3,91,0,0,0,0,0,3,0,9,0,19,0,34,0,8,0,3,0,5,0,9,0,25,0,42,0,0,0,0,0,4,0,6,3,14,0,22,3,6,0,3,0,13,0,28,0,25,0,79,7,12,0,9,0,26,3,47,0,41,0,150,15,26,0,31,0,68,0,52,4,70,0,259,21,35,0,57,3,120,3,72,6,57,3,387,38,78,8,154,6,218,9,86,15,89,0,699,43,66,4,206,10,202,8,70,14,96,3,731,73,56,11,247,14,272,16,58,8,64,5,829,110,58,7,294,26,297,12,58,11,78,0,960,360,91,13,728,67,589,29,84,7,116,7,2084,449,70,14,920,78,191,15,52,8,59,3,1863,483,59,9,771,110,125,14,35,3,36,0,1650,423,35,7,349,59,476,4,26,7,28,0,1411,1576,79,32,1963,206,574,30,84
