SSC_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC20001,0,0,0,0,0
SSC20002,430,262,75,43,5791
SSC20003,362,163,60,46,2030
SSC20004,0,0,0,0,0
SSC20005,17,28,8,0,79
SSC20006,0,0,0,0,0
SSC20007,3,8,0,0,24
SSC20008,4,3,0,0,18
SSC20009,6,4,0,0,21
SSC20010,9,0,0,0,22
SSC20011,0,0,0,0,0
SSC20012,136,77,45,11,499
SSC20013,15,8,0,0,62
SSC20014,441,295,183,76,3630
SSC20015,0,0,0,0,0
SSC20016,277,224,67,14,1981
SSC20017,596,454,143,46,3693
SSC20018,24,29,10,3,110
SSC20019,13,7,0,0,39
SSC20020,215,139,62,25,2269
SSC20021,245,217,110,55,1276
SSC20022,583,384,186,45,4245
SSC20023,10,3,0,0,11
SSC20024,9,5,3,0,51
SSC20025,17,10,0,0,51
SSC20026,34,21,3,0,159
SSC20027,97,65,27,6,687
SSC20028,19,10,6,3,97
SSC20029,8,5,3,0,53
SSC20030,14,17,3,0,75
SSC20031,0,3,0,0,8
SSC20032,3,3,3,0,21
SSC20033,493,240,68,38,2999
SSC20034,783,510,304,154,5620
SSC20035,1194,625,241,98,8520
SSC20036,435,312,336,161,5002
SSC20037,10,7,4,3,59
SSC20038,14,3,0,0,27
SSC20039,0,0,0,0,0
SSC20040,24,22,3,3,103
SSC20041,81,47,17,0,348
SSC20042,11,10,0,0,45
SSC20043,4,3,0,0,15
SSC20044,3,3,0,0,11
SSC20045,307,305,116,47,1519
SSC20046,3,0,0,0,10
SSC20047,4,3,0,0,25
SSC20048,181,164,53,22,868
SSC20049,0,0,0,0,3
SSC20050,7,3,0,0,15
SSC20051,34,11,3,3,104
SSC20052,642,492,248,86,3888
SSC20053,21,5,0,0,46
SSC20054,0,0,0,0,0
SSC20055,18,18,3,0,105
SSC20056,8,0,3,0,39
SSC20057,3,0,0,0,9
SSC20058,0,0,0,0,3
SSC20059,4,0,0,0,6
SSC20060,3,0,0,0,15
SSC20061,126,83,50,37,1318
SSC20062,30,34,8,0,207
SSC20063,3,4,0,0,14
SSC20064,20,20,11,5,99
SSC20065,707,582,294,128,5874
SSC20066,20,7,4,0,49
SSC20067,146,60,19,3,2197
SSC20068,8,3,0,0,17
SSC20069,0,0,0,0,11
SSC20070,57,43,15,8,260
SSC20071,54,33,12,0,209
SSC20072,9,4,7,0,36
SSC20073,170,84,25,7,882
SSC20074,1033,483,160,53,8280
SSC20075,23,24,3,4,109
SSC20076,718,376,161,123,4214
SSC20077,480,302,147,110,3714
SSC20078,548,289,187,49,3626
SSC20079,486,208,158,40,3068
SSC20080,14,3,0,0,56
SSC20081,234,90,18,0,1437
SSC20082,0,0,0,0,6
SSC20083,0,0,0,0,5
SSC20084,19,11,3,0,90
SSC20085,115,76,38,8,532
SSC20086,117,91,43,18,489
SSC20087,0,0,0,0,4
SSC20088,646,550,364,125,5147
SSC20089,0,4,0,0,11
SSC20090,95,37,16,6,432
SSC20091,33,25,8,0,166
SSC20092,77,35,17,6,373
SSC20093,4,0,0,0,13
SSC20094,434,389,186,67,2849
SSC20095,56,18,12,0,173
SSC20096,139,92,23,7,694
SSC20097,0,3,0,0,8
SSC20098,39,15,7,0,147
SSC20099,4,4,0,0,14
SSC20100,6,0,3,0,16
SSC20101,16,7,8,3,51
SSC20102,565,478,304,170,3564
SSC20103,14,10,3,0,91
SSC20104,329,205,77,24,3501
SSC20105,7,7,3,3,43
SSC20106,0,3,0,0,22
SSC20107,239,162,74,39,1387
SSC20108,4,0,4,0,24
SSC20109,0,0,0,0,4
SSC20110,473,301,131,51,2952
SSC20111,400,320,210,128,2862
SSC20112,282,213,121,48,1824
SSC20113,5,3,0,0,35
SSC20114,32,22,3,0,157
SSC20115,25,10,0,0,71
SSC20116,7,0,0,0,30
SSC20117,6,19,0,0,60
SSC20118,29,22,9,4,129
SSC20119,287,178,90,26,1276
SSC20120,63,75,34,10,273
SSC20121,0,0,0,0,5
SSC20122,1240,846,469,280,7379
SSC20123,1858,1125,587,343,10692
SSC20124,42,28,5,3,222
SSC20125,25,8,6,0,114
SSC20126,10,12,6,0,56
SSC20127,6,0,4,0,24
SSC20128,17,13,5,0,292
SSC20129,0,3,0,0,23
SSC20130,43,112,77,17,336
SSC20131,3,3,0,0,18
SSC20132,293,192,68,20,2373
SSC20133,3,0,0,0,9
SSC20134,3,0,0,0,10
SSC20135,159,66,54,49,1163
SSC20136,7,13,7,4,42
SSC20137,24,24,11,3,110
SSC20138,3,0,0,0,11
SSC20139,17,15,5,0,84
SSC20140,62,33,18,3,246
SSC20141,7,4,0,0,21
SSC20142,3,3,0,0,12
SSC20143,30,21,9,0,117
SSC20144,0,0,0,0,5
SSC20145,90,40,13,4,447
SSC20146,25,19,0,0,83
SSC20147,13,12,4,0,79
SSC20148,62,35,8,3,216
SSC20149,15,24,8,0,116
SSC20150,33,14,6,0,142
SSC20151,3,0,0,0,4
SSC20152,0,0,0,0,10
SSC20153,0,0,0,0,14
SSC20154,0,0,0,0,3
SSC20155,4,0,0,0,17
SSC20156,0,7,0,0,11
SSC20157,0,0,0,0,6
SSC20158,14,7,0,0,55
SSC20159,45,23,5,0,126
SSC20160,18,7,4,3,60
SSC20161,440,315,124,22,2098
SSC20162,3,0,0,0,5
SSC20163,29,33,6,0,153
SSC20164,83,33,15,0,448
SSC20165,4,7,4,0,31
SSC20166,0,0,0,0,0
SSC20167,3,0,0,0,20
SSC20168,152,102,50,13,1034
SSC20169,0,3,0,0,10
SSC20170,38,30,5,0,201
SSC20171,19,12,0,0,62
SSC20172,674,539,358,144,5819
SSC20173,548,341,147,175,4375
SSC20174,464,210,82,19,3040
SSC20175,296,168,74,29,1480
SSC20176,19,21,0,3,77
SSC20177,12,28,11,0,67
SSC20178,5,4,0,0,26
SSC20179,0,0,0,0,21
SSC20180,121,123,66,37,656
SSC20181,1489,969,482,270,7292
SSC20182,0,0,0,0,15
SSC20183,29,21,10,0,161
SSC20184,11,4,3,0,50
SSC20185,481,368,172,70,2309
SSC20186,3,4,0,0,15
SSC20187,382,169,59,13,2077
SSC20188,132,71,22,3,688
SSC20189,187,106,32,6,851
SSC20190,295,177,109,24,2093
SSC20191,313,277,146,49,2187
SSC20192,23,27,5,4,101
SSC20193,0,0,0,0,0
SSC20194,100,91,58,11,472
SSC20195,50,40,5,3,225
SSC20196,12,5,0,0,31
SSC20197,100,54,23,7,864
SSC20198,0,0,0,0,0
SSC20199,23,24,0,0,77
SSC20200,953,704,421,247,7218
SSC20201,9,5,3,0,31
SSC20202,34,24,3,3,138
SSC20203,860,746,419,193,4745
SSC20204,13,19,3,0,53
SSC20205,0,0,3,0,20
SSC20206,29,38,3,0,177
SSC20207,514,345,157,66,3019
SSC20208,14,11,0,0,40
SSC20209,12,6,4,0,37
SSC20210,8,4,0,0,22
SSC20211,24,4,0,0,70
SSC20212,5,4,0,0,26
SSC20213,1332,687,313,175,8600
SSC20214,1973,1059,596,320,13868
SSC20215,0,0,0,0,8
SSC20216,9,4,5,0,79
SSC20217,10,0,0,0,18
SSC20218,7,11,8,0,68
SSC20219,7,11,0,0,23
SSC20220,18,6,8,6,86
SSC20221,3,4,0,0,16
SSC20222,21,12,0,0,75
SSC20223,2824,1600,937,380,21965
SSC20224,11,9,0,0,43
SSC20225,6,16,7,3,62
SSC20226,4,9,4,0,41
SSC20227,0,0,0,0,0
SSC20228,52,38,11,3,257
SSC20229,11,9,3,0,44
SSC20230,27,19,3,4,134
SSC20231,26,23,3,0,158
SSC20232,119,53,16,0,986
SSC20233,0,0,0,0,3
SSC20234,21,21,3,0,113
SSC20235,3,11,0,0,24
SSC20236,6,3,3,5,37
SSC20237,4,3,0,0,16
SSC20238,0,0,0,0,0
SSC20239,4,0,0,0,8
SSC20240,9,3,0,0,25
SSC20241,7,10,0,3,49
SSC20242,0,0,0,0,0
SSC20243,41,52,22,11,311
SSC20244,0,0,0,0,0
SSC20245,56,21,10,3,268
SSC20246,74,74,23,3,424
SSC20247,312,196,67,27,1753
SSC20248,155,123,34,19,1058
SSC20249,32,20,0,0,117
SSC20250,666,523,240,127,3532
SSC20251,1147,815,501,308,8004
SSC20252,456,267,212,81,3710
SSC20253,782,522,432,239,5582
SSC20254,3,0,0,0,12
SSC20255,33,24,6,0,157
SSC20256,255,340,165,47,1348
SSC20257,0,3,0,0,17
SSC20258,34,16,3,0,117
SSC20259,78,52,23,3,554
SSC20260,19,0,3,0,35
SSC20261,3,0,0,0,14
SSC20262,5,11,0,0,35
SSC20263,3,5,0,3,33
SSC20264,0,0,0,0,0
SSC20265,16,14,3,0,40
SSC20266,10,5,7,0,38
SSC20267,0,0,0,0,3
SSC20268,0,0,0,0,8
SSC20269,25,14,3,3,118
SSC20270,0,0,0,0,0
SSC20271,18,13,7,0,92
SSC20272,0,0,0,0,3
SSC20273,78,50,13,0,277
SSC20274,4,3,0,0,21
SSC20275,5,4,0,0,48
SSC20276,8,3,0,0,13
SSC20277,500,335,173,108,3575
SSC20278,44,18,0,0,355
SSC20279,25,19,7,7,161
SSC20280,3,0,0,0,19
SSC20281,66,54,20,4,288
SSC20282,20,10,4,0,100
SSC20283,8,9,3,4,73
SSC20284,0,0,0,0,0
SSC20285,0,0,0,0,9
SSC20286,124,92,24,14,501
SSC20287,20,14,7,0,72
SSC20288,0,0,0,0,0
SSC20289,6,0,0,0,16
SSC20290,0,3,0,0,9
SSC20291,0,0,0,0,9
SSC20292,11,3,3,0,61
SSC20293,9,13,3,3,55
SSC20294,0,3,0,0,3
SSC20295,7,3,0,0,20
SSC20296,14,19,13,3,86
SSC20297,4,9,5,0,21
SSC20298,76,62,24,31,367
SSC20299,9,3,3,0,46
SSC20300,6,5,0,0,42
SSC20301,11,0,0,0,13
SSC20302,1560,1120,568,191,11087
SSC20303,10,3,7,0,46
SSC20304,7,6,0,0,39
SSC20305,199,72,10,0,1777
SSC20306,9,7,7,4,56
SSC20307,11,19,3,0,85
SSC20308,5,5,3,0,27
SSC20309,4,3,0,0,27
SSC20310,10,5,0,0,53
SSC20311,0,3,3,0,18
SSC20312,622,354,283,192,6474
SSC20313,811,439,290,100,6209
SSC20314,690,364,210,95,4622
SSC20315,3,3,0,0,10
SSC20316,0,0,0,0,0
SSC20317,0,0,0,0,18
SSC20318,0,0,0,0,9
SSC20319,7,13,0,0,48
SSC20320,23,18,8,0,143
SSC20321,5,3,0,0,11
SSC20322,355,191,82,31,3647
SSC20323,0,8,0,0,22
SSC20324,67,53,21,8,478
SSC20325,34,26,6,0,107
SSC20326,3,5,0,0,19
SSC20327,6,0,0,0,21
SSC20328,148,68,24,3,562
SSC20329,267,234,95,17,1702
SSC20330,9,7,0,0,49
SSC20331,9,12,3,0,55
SSC20332,3,0,0,0,23
SSC20333,33,22,13,7,144
SSC20334,246,226,101,56,1255
SSC20335,2523,1826,917,473,13484
SSC20336,1534,973,601,486,8743
SSC20337,14,8,3,0,63
SSC20338,0,0,0,0,4
SSC20339,9,4,0,0,25
SSC20340,8,4,3,0,40
SSC20341,0,0,0,0,3
SSC20342,0,0,0,0,14
SSC20343,310,176,78,29,1837
SSC20344,407,225,145,43,4340
SSC20345,11,0,0,0,39
SSC20346,3,0,0,0,10
SSC20347,8,4,0,0,17
SSC20348,3,8,0,0,28
SSC20349,408,229,110,32,3673
SSC20350,86,38,26,12,908
SSC20351,0,0,0,0,0
SSC20352,38,10,8,0,132
SSC20353,10,6,3,0,53
SSC20354,261,126,66,14,1726
SSC20355,8,3,0,0,45
SSC20356,11,14,0,0,40
SSC20357,10,11,0,0,55
SSC20358,0,0,0,0,0
SSC20359,1284,590,234,83,15564
SSC20360,535,272,110,36,7671
SSC20361,813,404,180,102,8439
SSC20362,77,61,28,4,395
SSC20363,17,4,3,0,44
SSC20364,27,6,10,0,102
SSC20365,4,3,3,4,36
SSC20366,23,6,8,3,75
SSC20367,23,12,0,0,100
SSC20368,0,3,0,0,12
SSC20369,4,3,6,0,23
SSC20370,0,0,0,0,0
SSC20371,16,4,0,4,69
SSC20372,0,0,0,0,5
SSC20373,26,19,3,0,124
SSC20374,40,22,4,0,132
SSC20375,7,5,0,0,47
SSC20376,3,0,0,0,3
SSC20377,0,0,0,0,3
SSC20378,3,0,4,0,18
SSC20379,57,55,16,4,330
SSC20380,3,0,0,0,5
SSC20381,0,6,3,0,34
SSC20382,21,12,4,0,50
SSC20383,7,4,0,0,18
SSC20384,718,553,422,126,5366
SSC20385,75,47,14,0,341
SSC20386,6,3,0,0,32
SSC20387,3,3,0,0,13
SSC20388,44,24,3,0,260
SSC20389,22,10,3,0,97
SSC20390,7,10,0,0,38
SSC20391,23,11,9,0,127
SSC20392,15,10,0,0,90
SSC20393,65,27,10,5,215
SSC20394,6,4,3,0,27
SSC20395,0,0,0,0,0
SSC20396,9,6,0,0,28
SSC20397,1535,1076,575,277,13793
SSC20398,8,7,0,0,25
SSC20399,0,3,0,0,31
SSC20400,3,3,0,0,25
SSC20401,17,6,0,0,46
SSC20402,23,12,3,0,112
SSC20403,4,9,0,0,14
SSC20404,7,0,0,0,26
SSC20405,3,0,0,0,3
SSC20406,4,0,0,0,9
SSC20407,386,249,102,25,1912
SSC20408,28,15,0,3,122
SSC20409,167,126,46,22,1120
SSC20410,3,8,3,4,48
SSC20411,0,0,0,0,0
SSC20412,0,0,0,0,6
SSC20413,0,3,0,0,9
SSC20414,7,5,0,0,26
SSC20415,8,0,3,0,15
SSC20416,36,37,6,0,508
SSC20417,240,136,69,54,1901
SSC20418,177,71,6,0,2459
SSC20419,0,3,0,0,11
SSC20420,18,12,3,0,101
SSC20421,3,0,0,0,5
SSC20422,6,6,0,0,19
SSC20423,23,28,0,0,96
SSC20424,806,542,389,256,7977
SSC20425,663,539,397,88,5250
SSC20426,40,36,11,3,277
SSC20427,3,0,0,0,15
SSC20428,0,0,0,0,9
SSC20429,75,50,24,3,272
SSC20430,16,13,3,0,70
SSC20431,19,7,0,0,56
SSC20432,14,8,0,0,67
SSC20433,17,6,5,8,77
SSC20434,13,6,0,0,74
SSC20435,45,12,0,0,201
SSC20436,4,0,0,0,11
SSC20437,7,7,3,0,27
SSC20438,3,0,0,0,9
SSC20439,404,176,31,3,3655
SSC20440,0,0,0,0,0
SSC20441,9,11,5,0,80
SSC20442,263,186,116,38,1722
SSC20443,22,13,0,3,84
SSC20444,7,0,0,0,15
SSC20445,30,28,8,3,154
SSC20446,6,4,0,0,22
SSC20447,0,0,0,0,6
SSC20448,0,0,0,0,9
SSC20449,12,15,3,3,75
SSC20450,0,0,0,0,0
SSC20451,2055,1487,810,545,12938
SSC20452,16,15,0,0,123
SSC20453,145,149,52,14,1544
SSC20454,0,0,0,0,11
SSC20455,167,120,38,11,891
SSC20456,4,4,0,0,19
SSC20457,5,3,0,0,22
SSC20458,246,240,141,49,1453
SSC20459,265,132,62,45,1825
SSC20460,3,0,0,0,5
SSC20461,6,0,0,0,26
SSC20462,19,13,4,0,73
SSC20463,0,0,0,0,13
SSC20464,50,32,15,0,330
SSC20465,4,0,0,0,20
SSC20466,912,621,289,155,4617
SSC20467,29,11,3,0,79
SSC20468,8,16,0,0,43
SSC20469,0,0,0,0,3
SSC20470,3,0,0,0,9
SSC20471,109,103,40,8,513
SSC20472,85,53,15,3,263
SSC20473,151,108,39,6,863
SSC20474,5,3,0,0,13
SSC20475,4,6,5,3,36
SSC20476,3,0,0,0,3
SSC20477,25,11,4,4,121
SSC20478,4,11,0,0,24
SSC20479,5,7,0,0,14
SSC20480,10,8,0,0,38
SSC20481,14,3,0,0,48
SSC20482,49,28,8,0,318
SSC20483,40,21,14,0,291
SSC20484,36,17,4,0,170
SSC20485,66,30,19,0,345
SSC20486,3,3,0,0,23
SSC20487,3,0,0,0,10
SSC20488,3,0,0,0,12
SSC20489,109,61,18,9,466
SSC20490,17,9,4,3,66
SSC20491,32,18,11,0,166
SSC20492,551,397,200,84,10896
SSC20493,475,380,116,33,4359
SSC20494,8,3,0,0,31
SSC20495,1146,676,361,144,10391
SSC20496,26,11,3,0,81
SSC20497,943,443,133,8,10619
SSC20498,4,3,0,0,49
SSC20499,18,7,3,0,57
SSC20500,17,10,3,0,63
SSC20501,4,7,0,0,25
SSC20502,4,0,0,0,18
SSC20503,0,0,0,0,11
SSC20504,290,216,86,31,2098
SSC20505,1177,636,330,229,9178
SSC20506,10,0,0,0,28
SSC20507,29,11,6,0,96
SSC20508,6,0,0,0,13
SSC20509,27,8,0,0,138
SSC20510,107,117,76,41,682
SSC20511,4,8,0,0,35
SSC20512,18,7,0,0,60
SSC20513,735,618,393,194,3727
SSC20514,22,10,6,0,123
SSC20515,14,0,3,0,48
SSC20516,0,0,0,5,12
SSC20517,0,0,0,0,6
SSC20518,458,386,221,165,3277
SSC20519,110,62,12,0,924
SSC20520,1383,991,442,328,9339
SSC20521,1111,789,285,138,6791
SSC20522,3,4,0,0,18
SSC20523,34,18,4,0,170
SSC20524,27,20,12,0,141
SSC20525,474,272,160,48,4815
SSC20526,0,0,0,0,0
SSC20527,0,0,0,0,0
SSC20528,7,7,0,0,17
SSC20529,4,3,0,0,15
SSC20530,44,41,24,35,226
SSC20531,5,8,0,0,36
SSC20532,119,53,38,30,457
SSC20533,6,3,3,0,25
SSC20534,504,365,251,183,4151
SSC20535,357,241,124,17,2479
SSC20536,1496,959,619,396,11428
SSC20537,7,0,0,0,19
SSC20538,4,6,3,0,35
SSC20539,0,0,0,0,0
SSC20540,25,11,6,0,120
SSC20541,0,0,0,0,0
SSC20542,22,14,4,0,89
SSC20543,6,3,3,0,29
SSC20544,147,61,32,3,1048
SSC20545,16,5,0,0,32
SSC20546,18,8,0,0,52
SSC20547,0,0,0,0,0
SSC20548,181,113,43,11,772
SSC20549,7,3,4,0,39
SSC20550,0,0,0,0,3
SSC20551,3,3,0,0,14
SSC20552,12,3,0,0,57
SSC20553,757,556,196,59,4703
SSC20554,0,0,0,0,3
SSC20555,5,4,0,0,25
SSC20556,38,18,8,4,213
SSC20557,130,71,27,0,518
SSC20558,392,279,96,24,2229
SSC20559,0,0,0,0,0
SSC20560,0,0,0,0,5
SSC20561,15,10,3,0,66
SSC20562,3,8,0,0,15
SSC20563,490,332,156,62,3307
SSC20564,19,19,5,0,140
SSC20565,0,6,0,0,29
SSC20566,502,278,234,199,9905
SSC20567,465,314,179,40,5885
SSC20568,9,4,0,0,33
SSC20569,34,23,5,3,183
SSC20570,18,18,3,0,111
SSC20571,564,346,87,23,4154
SSC20572,728,540,296,57,3678
SSC20573,37,23,0,0,171
SSC20574,0,0,0,0,3
SSC20575,21,3,3,0,79
SSC20576,4,6,0,0,14
SSC20577,200,134,66,11,819
SSC20578,123,38,12,3,997
SSC20579,227,170,50,6,3933
SSC20580,3,0,0,0,49
SSC20581,16,7,3,0,39
SSC20582,6,6,0,0,30
SSC20583,16,5,3,0,101
SSC20584,8,8,6,0,44
SSC20585,0,0,0,0,0
SSC20586,0,0,0,0,0
SSC20587,115,89,52,23,714
SSC20588,360,361,218,65,2359
SSC20589,17,12,0,3,107
SSC20590,3,0,3,0,37
SSC20591,7,9,3,0,27
SSC20592,1483,622,276,127,13835
SSC20593,371,196,128,123,3898
SSC20594,0,0,0,0,0
SSC20595,0,0,0,0,0
SSC20596,329,128,49,10,2025
SSC20597,0,0,0,0,0
SSC20598,4,0,0,0,23
SSC20599,7,10,3,0,35
SSC20600,167,151,97,25,958
SSC20601,32,27,0,9,205
SSC20602,0,0,0,0,4
SSC20603,610,453,283,139,3742
SSC20604,9,4,0,3,27
SSC20605,15,16,4,0,64
SSC20606,6,5,0,0,34
SSC20607,17,16,16,0,136
SSC20608,3,3,0,0,18
SSC20609,163,102,35,15,992
SSC20610,90,68,39,27,459
SSC20611,20,4,3,3,113
SSC20612,437,193,91,47,5635
SSC20613,4,0,0,0,17
SSC20614,14,8,5,0,66
SSC20615,6,7,4,3,53
SSC20616,51,36,6,0,260
SSC20617,109,81,22,6,477
SSC20618,3,0,0,0,14
SSC20619,4,3,0,0,18
SSC20620,99,95,86,10,968
SSC20621,12,6,3,0,40
SSC20622,14,0,0,0,53
SSC20623,32,10,4,0,124
SSC20624,29,20,7,3,91
SSC20625,0,0,0,0,13
SSC20626,0,0,0,0,10
SSC20627,30,9,0,0,164
SSC20628,9,0,0,0,28
SSC20629,19,15,0,0,99
SSC20630,3,0,0,0,14
SSC20631,0,3,0,0,14
SSC20632,9,5,0,0,64
SSC20633,9,10,4,0,41
SSC20634,25,5,0,0,60
SSC20635,78,98,30,4,381
SSC20636,767,520,252,66,5357
SSC20637,8,0,0,0,19
SSC20638,5,0,3,0,21
SSC20639,8,3,5,0,58
SSC20640,85,81,42,15,378
SSC20641,13,10,3,0,61
SSC20642,25,11,0,0,114
SSC20643,0,7,0,0,6
SSC20644,97,87,62,25,600
SSC20645,18,4,4,3,58
SSC20646,6,0,3,0,24
SSC20647,6,3,0,0,25
SSC20648,8,4,0,0,36
SSC20649,3,0,0,0,3
SSC20650,112,42,21,3,367
SSC20651,0,0,0,0,0
SSC20652,0,0,0,0,11
SSC20653,440,475,244,160,2389
SSC20654,5,0,0,0,13
SSC20655,48,11,5,0,168
SSC20656,9,0,0,0,23
SSC20657,1709,644,211,60,20293
SSC20658,1101,609,253,94,8359
SSC20659,415,355,272,92,6917
SSC20660,813,382,123,33,8494
SSC20661,146,105,34,5,783
SSC20662,495,184,71,21,6472
SSC20663,0,0,0,0,8
SSC20664,12,28,4,0,84
SSC20665,92,56,10,0,1484
SSC20666,13,11,11,0,77
SSC20667,288,247,148,67,1602
SSC20668,9,0,3,0,37
SSC20669,264,140,60,7,1465
SSC20670,0,0,0,0,0
SSC20671,3,0,0,0,3
SSC20672,0,0,0,0,7
SSC20673,21,16,3,0,94
SSC20674,18,12,3,0,86
SSC20675,11,12,3,0,51
SSC20676,0,0,3,0,31
SSC20677,1760,1385,856,386,13359
SSC20678,435,216,67,19,2429
SSC20679,673,352,204,83,3941
SSC20680,283,242,104,11,2235
SSC20681,0,3,0,0,6
SSC20682,25,5,0,3,103
SSC20683,19,14,3,3,114
SSC20684,17,10,4,0,42
SSC20685,12,0,0,0,25
SSC20686,4,0,0,0,18
SSC20687,9,10,0,0,28
SSC20688,0,0,0,0,0
SSC20689,0,0,0,0,3
SSC20690,0,0,0,0,11
SSC20691,11,0,4,0,56
SSC20692,104,89,29,0,761
SSC20693,10,0,3,0,14
SSC20694,13,11,3,0,36
SSC20695,24,45,14,0,165
SSC20696,26,13,0,0,170
SSC20697,200,144,90,21,2180
SSC20698,15,18,4,0,82
SSC20699,3,3,0,0,22
SSC20700,0,0,0,0,0
SSC20701,42,21,7,7,263
SSC20702,1173,641,464,221,11836
SSC20703,1265,874,417,136,9325
SSC20704,16,15,0,0,99
SSC20705,0,0,0,0,3
SSC20706,4,11,7,0,38
SSC20707,584,297,93,17,3636
SSC20708,3,0,3,0,19
SSC20709,13,6,0,0,42
SSC20710,53,34,7,0,321
SSC20711,46,19,7,3,219
SSC20712,0,0,0,0,4
SSC20713,25,30,8,0,139
SSC20714,14,10,0,0,47
SSC20715,8,6,0,0,23
SSC20716,321,221,102,45,1374
SSC20717,14,4,6,0,62
SSC20718,46,20,4,0,150
SSC20719,3,0,0,0,8
SSC20720,18,17,6,0,86
SSC20721,21,13,3,0,86
SSC20722,235,174,110,63,1174
SSC20723,796,542,217,49,7305
SSC20724,315,241,124,52,2591
SSC20725,450,188,55,15,3148
SSC20726,0,0,0,0,4
SSC20727,4,3,0,0,14
