SSC_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC20728,0,3,0,0,10
SSC20729,0,5,0,0,9
SSC20730,23,23,3,0,191
SSC20731,95,53,21,12,817
SSC20732,18,18,3,0,86
SSC20733,0,0,0,0,0
SSC20734,6,4,0,0,13
SSC20735,50,40,4,0,241
SSC20736,5,7,0,0,15
SSC20737,206,82,22,6,3356
SSC20738,6,3,3,0,27
SSC20739,35,27,25,9,163
SSC20740,22,8,3,0,87
SSC20741,4,3,0,0,9
SSC20742,128,90,27,6,680
SSC20743,46,23,14,3,172
SSC20744,22,20,6,0,102
SSC20745,26,15,3,0,332
SSC20746,966,476,162,42,5860
SSC20747,13,12,0,0,48
SSC20748,215,118,42,9,1338
SSC20749,3,9,3,0,43
SSC20750,178,94,51,36,742
SSC20751,11,7,17,0,91
SSC20752,819,595,294,123,4885
SSC20753,7,4,0,0,43
SSC20754,24,7,0,0,150
SSC20755,9,0,0,0,55
SSC20756,27,40,11,3,182
SSC20757,4,6,0,0,16
SSC20758,16,10,3,0,60
SSC20759,8,4,0,0,31
SSC20760,605,330,76,8,7828
SSC20761,0,0,0,0,7
SSC20762,8,6,0,0,32
SSC20763,58,19,12,0,261
SSC20764,120,107,64,48,651
SSC20765,1451,1145,921,357,11189
SSC20766,2156,1567,947,381,14450
SSC20767,12,11,0,0,71
SSC20768,1059,770,433,250,6427
SSC20769,0,0,0,0,3
SSC20770,25,23,3,0,126
SSC20771,33,16,9,0,145
SSC20772,0,0,0,0,18
SSC20773,819,508,113,33,9446
SSC20774,3,0,3,0,19
SSC20775,0,0,0,0,0
SSC20776,7,4,0,0,19
SSC20777,392,263,168,56,3430
SSC20778,3,3,0,0,26
SSC20779,4,3,0,0,10
SSC20780,7,3,0,0,39
SSC20781,11,0,0,0,26
SSC20782,520,472,228,72,2818
SSC20783,0,4,0,0,5
SSC20784,860,712,360,122,5613
SSC20785,9,9,0,0,97
SSC20786,25,31,6,3,148
SSC20787,40,28,11,7,167
SSC20788,4,5,0,0,19
SSC20789,4,12,0,0,70
SSC20790,80,51,11,3,310
SSC20791,0,0,0,0,18
SSC20792,28,29,3,0,145
SSC20793,25,17,6,5,107
SSC20794,10,8,0,0,69
SSC20795,4,0,0,0,19
SSC20796,388,320,233,129,2159
SSC20797,4,0,0,3,11
SSC20798,49,29,10,0,184
SSC20799,11,4,3,0,38
SSC20800,4,0,0,0,7
SSC20801,5,8,0,0,25
SSC20802,9,0,0,0,25
SSC20803,71,42,14,14,365
SSC20804,0,3,0,0,16
SSC20805,0,3,0,0,11
SSC20806,26,13,3,0,103
SSC20807,94,86,38,4,367
SSC20808,6,3,3,0,22
SSC20809,0,3,0,0,3
SSC20810,48,22,10,0,215
SSC20811,12,7,0,0,36
SSC20812,9,0,5,0,16
SSC20813,0,0,0,0,3
SSC20814,19,13,3,0,61
SSC20815,4,0,0,0,12
SSC20816,148,123,49,20,576
SSC20817,404,313,143,44,2521
SSC20818,3,0,0,0,3
SSC20819,497,344,117,52,2300
SSC20820,14,9,3,0,48
SSC20821,92,106,39,13,554
SSC20822,178,110,77,37,1032
SSC20823,379,181,68,22,2150
SSC20824,526,424,146,82,3793
SSC20825,4,0,0,0,66
SSC20826,6,6,0,0,45
SSC20827,95,66,24,3,434
SSC20828,6,9,0,0,26
SSC20829,0,0,0,0,11
SSC20830,151,181,150,102,1303
SSC20831,12,12,0,0,61
SSC20832,1009,778,472,212,6314
SSC20833,55,40,7,3,243
SSC20834,45,17,11,0,193
SSC20835,5,0,0,0,74
SSC20836,4,3,9,0,50
SSC20837,130,78,18,4,624
SSC20838,70,76,41,33,434
SSC20839,12,10,3,0,45
SSC20840,5,11,0,0,42
SSC20841,13,10,4,0,48
SSC20842,406,257,162,90,3093
SSC20843,27,16,10,0,108
SSC20844,93,105,44,28,507
SSC20845,18,17,4,0,100
SSC20846,44,39,7,5,205
SSC20847,4,0,0,0,21
SSC20848,3,0,0,0,21
SSC20849,3,0,3,0,28
SSC20850,0,0,0,0,0
SSC20851,12,10,4,0,91
SSC20852,11,3,3,0,69
SSC20853,221,103,55,25,1232
SSC20854,28,16,0,0,120
SSC20855,25,26,8,3,90
SSC20856,53,47,34,8,325
SSC20857,87,39,8,5,288
SSC20858,870,539,230,107,6072
SSC20859,1941,1176,400,124,9841
SSC20860,754,373,90,20,3527
SSC20861,1204,548,189,57,10503
SSC20862,573,396,96,37,2905
SSC20863,5,5,0,0,16
SSC20864,53,20,10,3,200
SSC20865,1927,988,335,136,11042
SSC20866,35,37,8,8,256
SSC20867,0,3,0,0,6
SSC20868,0,0,0,0,0
SSC20869,15,12,6,0,56
SSC20870,0,3,0,0,9
SSC20871,61,47,17,6,348
SSC20872,1359,679,258,109,13462
SSC20873,220,119,42,14,1970
SSC20874,6,0,0,3,32
SSC20875,20,17,3,0,99
SSC20876,0,0,0,0,0
SSC20877,22,20,8,0,104
SSC20878,0,0,0,0,0
SSC20879,1696,808,377,207,11489
SSC20880,0,0,0,0,0
SSC20881,185,96,60,55,1690
SSC20882,116,61,38,19,728
SSC20883,85,79,56,13,793
SSC20884,4,3,0,0,19
SSC20885,38,36,5,9,289
SSC20886,277,241,145,92,1469
SSC20887,30,18,3,0,103
SSC20888,17,9,3,0,62
SSC20889,3,0,0,0,5
SSC20890,25,24,3,0,106
SSC20891,20,12,3,0,90
SSC20892,13,0,0,0,49
SSC20893,95,42,0,0,1217
SSC20894,3,3,3,0,16
SSC20895,478,217,100,31,3914
SSC20896,50,30,17,3,184
SSC20897,4,0,0,0,11
SSC20898,14,3,0,0,38
SSC20899,0,0,0,0,0
SSC20900,15,20,4,0,185
SSC20901,25,25,3,3,92
SSC20902,0,12,0,0,34
SSC20903,501,268,299,183,5569
SSC20904,0,0,0,0,5
SSC20905,3,5,0,0,17
SSC20906,16,12,3,0,56
SSC20907,17,12,3,0,64
SSC20908,6,0,0,0,25
SSC20909,0,0,0,0,7
SSC20910,0,0,0,0,0
SSC20911,1792,1258,580,203,12784
SSC20912,202,129,42,10,902
SSC20913,0,0,0,0,3
SSC20914,69,54,11,0,278
SSC20915,71,61,17,4,378
SSC20916,3,0,0,0,6
SSC20917,3,0,0,0,13
SSC20918,670,376,177,63,6944
SSC20919,978,659,254,69,8202
SSC20920,11,10,3,0,49
SSC20921,8,7,3,0,42
SSC20922,0,0,0,0,0
SSC20923,413,210,108,32,4208
SSC20924,146,147,68,11,549
SSC20925,204,123,64,71,1806
SSC20926,80,57,14,0,321
SSC20927,20,7,0,0,86
SSC20928,0,3,0,0,4
SSC20929,722,356,192,105,9645
SSC20930,6,15,0,0,57
SSC20931,684,485,382,169,5484
SSC20932,26,26,11,0,148
SSC20933,44,19,3,0,136
SSC20934,194,192,91,57,902
SSC20935,25,20,12,3,101
SSC20936,4,4,0,0,38
SSC20937,3,0,0,0,6
SSC20938,11,8,3,0,62
SSC20939,0,0,0,0,8
SSC20940,10,8,0,0,33
SSC20941,2668,1871,972,348,17905
SSC20942,325,214,166,67,2416
SSC20943,1593,1127,631,370,9251
SSC20944,12,16,3,0,60
SSC20945,17,19,4,0,61
SSC20946,3,0,0,0,8
SSC20947,52,36,11,0,220
SSC20948,24,13,5,3,131
SSC20949,55,13,3,0,855
SSC20950,0,3,0,0,6
SSC20951,12,5,3,0,39
SSC20952,3,3,3,0,18
SSC20953,25,7,7,0,94
SSC20954,3,0,3,0,4
SSC20955,12,0,0,0,23
SSC20956,10,0,0,0,36
SSC20957,17,3,8,4,88
SSC20958,84,52,19,9,624
SSC20959,126,89,28,3,797
SSC20960,28,18,4,0,108
SSC20961,13,9,0,0,68
SSC20962,13,8,0,0,99
SSC20963,0,0,0,0,3
SSC20964,0,0,0,0,12
SSC20965,0,3,0,0,26
SSC20966,516,312,131,70,3068
SSC20967,482,259,105,29,3828
SSC20968,0,3,0,0,6
SSC20969,22,13,10,0,116
SSC20970,4,0,0,0,7
SSC20971,3,0,3,0,11
SSC20972,226,101,33,8,1124
SSC20973,13,8,6,0,34
SSC20974,0,0,0,0,0
SSC20975,12,4,0,0,35
SSC20976,3,0,0,0,8
SSC20977,7,3,0,0,32
SSC20978,16,4,3,0,57
SSC20979,0,0,0,0,3
SSC20980,0,0,0,0,0
SSC20981,3,0,0,0,8
SSC20982,43,14,7,3,191
SSC20983,11,10,4,0,65
SSC20984,5,11,0,0,24
SSC20985,9,3,0,0,32
SSC20986,15,4,7,0,42
SSC20987,0,0,0,0,13
SSC20988,10,3,3,0,34
SSC20989,3,0,0,0,24
SSC20990,0,0,0,0,0
SSC20991,0,5,4,0,11
SSC20992,38,27,11,5,205
SSC20993,20,0,0,0,66
SSC20994,684,511,203,98,4474
SSC20995,81,51,18,0,430
SSC20996,0,3,0,0,15
SSC20997,508,489,184,45,3447
SSC20998,41,29,3,0,207
SSC20999,16,6,0,0,67
SSC21000,3,4,4,0,24
SSC21001,17,11,4,0,56
SSC21002,290,183,84,42,3270
SSC21003,2263,1376,638,253,14826
SSC21004,12,6,0,0,56
SSC21005,0,3,0,0,6
SSC21006,3126,2191,1471,548,21272
SSC21007,0,0,0,0,0
SSC21008,0,3,0,0,11
SSC21009,10,4,0,0,37
SSC21010,3,0,0,0,17
SSC21011,16,7,5,0,71
SSC21012,0,0,3,0,12
SSC21013,46,52,14,9,207
SSC21014,0,0,0,0,16
SSC21015,0,0,0,0,0
SSC21016,0,0,0,0,0
SSC21017,11,3,3,0,52
SSC21018,95,32,8,4,504
SSC21019,20,8,5,3,89
SSC21020,11,9,3,0,43
SSC21021,0,0,3,0,8
SSC21022,6,18,0,0,51
SSC21023,8,5,0,0,20
SSC21024,4,4,0,0,9
SSC21025,7,0,0,0,30
SSC21026,0,0,0,0,11
SSC21027,6,3,0,0,21
SSC21028,0,0,0,0,5
SSC21029,0,0,0,0,5
SSC21030,3,0,0,0,12
SSC21031,64,41,14,0,229
SSC21032,34,31,9,3,145
SSC21033,0,0,0,0,24
SSC21034,20,6,0,0,54
SSC21035,0,3,0,0,22
SSC21036,10,10,0,0,48
SSC21037,3,3,0,0,19
SSC21038,117,88,15,6,507
SSC21039,16,4,3,0,42
SSC21040,841,525,458,283,10376
SSC21041,28,14,10,0,107
SSC21042,0,0,0,0,0
SSC21043,25,27,10,0,149
SSC21044,13,4,0,0,54
SSC21045,3,5,0,0,14
SSC21046,18,4,3,0,45
SSC21047,26,35,16,0,133
SSC21048,23,11,4,0,88
SSC21049,164,100,49,26,1094
SSC21050,21,7,0,0,66
SSC21051,611,444,261,181,4207
SSC21052,26,15,10,0,136
SSC21053,0,4,0,0,8
SSC21054,0,0,0,0,3
SSC21055,8,0,0,3,18
SSC21056,8,5,3,0,45
SSC21057,12,12,3,0,55
SSC21058,4,4,0,0,20
SSC21059,24,11,0,0,76
SSC21060,8,4,0,0,30
SSC21061,29,20,12,3,146
SSC21062,52,32,9,5,294
SSC21063,0,3,0,0,8
SSC21064,19,3,4,0,93
SSC21065,22,13,3,0,111
SSC21066,105,70,14,9,576
SSC21067,40,17,5,0,158
SSC21068,15,16,9,3,116
SSC21069,3,6,0,0,14
SSC21070,35,33,16,4,146
SSC21071,12,4,3,0,31
SSC21072,132,84,74,16,1312
SSC21073,0,0,0,0,0
SSC21074,3,0,0,0,14
SSC21075,8,0,0,0,12
SSC21076,4,0,0,0,18
SSC21077,75,28,9,0,279
SSC21078,0,0,0,0,0
SSC21079,0,0,3,0,5
SSC21080,32,20,7,0,141
SSC21081,77,98,33,3,389
SSC21082,6,14,0,0,48
SSC21083,0,0,0,0,11
SSC21084,29,18,3,0,176
SSC21085,0,0,0,0,3
SSC21086,7,9,0,0,29
SSC21087,0,3,0,0,7
SSC21088,0,0,0,0,7
SSC21089,0,4,0,0,9
SSC21090,49,43,9,0,200
SSC21091,0,0,0,0,7
SSC21092,15,4,4,0,36
SSC21093,63,50,4,4,304
SSC21094,9,5,3,0,33
SSC21095,11,3,0,0,29
SSC21096,1688,1105,450,149,10625
SSC21097,974,380,99,19,6556
SSC21098,0,0,0,0,20
SSC21099,12,6,3,0,51
SSC21100,16,3,0,0,56
SSC21101,14,4,4,0,64
SSC21102,20,10,3,0,70
SSC21103,0,0,0,0,0
SSC21104,0,0,0,0,3
SSC21105,4,6,0,0,21
SSC21106,948,787,414,300,6892
SSC21107,97,53,26,0,478
SSC21108,43,41,10,0,177
SSC21109,42,35,8,7,196
SSC21110,24,8,4,0,105
SSC21111,0,0,0,0,0
SSC21112,0,0,0,0,10
SSC21113,33,30,3,0,203
SSC21114,0,3,0,0,21
SSC21115,98,50,18,3,538
SSC21116,221,149,142,47,2286
SSC21117,652,361,186,61,4434
SSC21118,10,8,0,0,51
SSC21119,42,34,15,0,231
SSC21120,20,14,3,0,82
SSC21121,798,591,318,171,4495
SSC21122,434,302,175,88,3134
SSC21123,1282,819,321,139,7299
SSC21124,361,211,108,51,2461
SSC21125,1343,574,248,44,10103
SSC21126,12,10,3,0,72
SSC21127,13,6,5,0,45
SSC21128,3,0,0,0,29
SSC21129,106,73,32,7,479
SSC21130,44,30,8,0,150
SSC21131,66,50,26,4,412
SSC21132,10,4,0,0,27
SSC21133,49,33,9,4,206
SSC21134,19,15,3,0,81
SSC21135,13,5,3,0,64
SSC21136,635,546,327,93,4206
SSC21137,4,3,0,0,17
SSC21138,6,7,0,0,27
SSC21139,112,57,15,3,590
SSC21140,9,0,0,0,16
SSC21141,17,6,0,0,130
SSC21142,0,0,0,0,0
SSC21143,1552,1130,509,224,15333
SSC21144,1115,736,348,186,9010
SSC21145,4,0,0,0,20
SSC21146,21,18,6,0,106
SSC21147,157,79,21,3,751
SSC21148,32,14,0,0,156
SSC21149,637,480,242,89,3600
SSC21150,10,10,3,3,82
SSC21151,306,269,153,31,1336
SSC21152,68,44,12,0,409
SSC21153,4,7,0,0,10
SSC21154,162,102,51,51,1383
SSC21155,20,17,7,0,100
SSC21156,727,559,294,101,5124
SSC21157,9,7,0,3,56
SSC21158,472,324,192,61,3647
SSC21159,413,210,102,56,3277
SSC21160,295,188,95,51,2568
SSC21161,11,7,0,0,30
SSC21162,9,3,0,0,25
SSC21163,52,35,24,8,300
SSC21164,44,39,13,3,194
SSC21165,242,125,77,31,1749
SSC21166,36,17,0,0,154
SSC21167,27,16,10,0,102
SSC21168,0,0,0,0,9
SSC21169,19,14,4,0,72
SSC21170,119,93,62,34,777
SSC21171,4,3,0,0,20
SSC21172,131,79,30,16,683
SSC21173,3,3,0,0,16
SSC21174,6,0,0,0,13
SSC21175,11,10,5,0,47
SSC21176,733,411,226,127,5567
SSC21177,13,17,6,0,69
SSC21178,1633,1068,586,232,10049
SSC21179,4,0,0,0,7
SSC21180,25,14,7,0,77
SSC21181,17,4,0,0,50
SSC21182,36,29,11,4,179
SSC21183,22,9,3,0,94
SSC21184,814,305,62,12,7151
SSC21185,0,4,0,0,14
SSC21186,8,0,0,0,506
SSC21187,74,49,8,4,324
SSC21188,3,0,0,0,10
SSC21189,3,3,0,0,16
SSC21190,0,4,0,0,10
SSC21191,4,3,0,3,28
SSC21192,70,41,27,29,327
SSC21193,37,22,9,0,298
SSC21194,2489,1336,401,119,16559
SSC21195,3,0,0,0,20
SSC21196,10,3,3,0,23
SSC21197,1040,658,370,193,6353
SSC21198,12,3,3,0,124
SSC21199,0,0,3,0,21
SSC21200,5,3,0,0,33
SSC21201,0,0,0,0,0
SSC21202,10,5,0,0,42
SSC21203,3,0,0,0,3
SSC21204,7,3,4,0,15
SSC21205,448,194,120,52,4010
SSC21206,43,15,12,0,169
SSC21207,3,0,0,0,20
SSC21208,4,0,0,0,13
SSC21209,82,35,13,16,960
SSC21210,152,71,22,3,1062
SSC21211,3,0,0,0,16
SSC21212,26,17,0,0,106
SSC21213,18,13,5,0,80
SSC21214,377,186,53,11,1799
SSC21215,4,0,3,0,12
SSC21216,11,4,0,0,22
SSC21217,3,0,0,0,17
SSC21218,8,3,3,0,37
SSC21219,29,24,7,0,150
SSC21220,156,138,52,11,599
SSC21221,51,21,4,3,168
SSC21222,70,53,36,13,341
SSC21223,0,7,3,0,30
SSC21224,67,17,23,0,252
SSC21225,112,70,27,7,748
SSC21226,533,585,280,97,2864
SSC21227,94,69,6,3,422
SSC21228,153,109,61,11,858
SSC21229,10,5,6,0,96
SSC21230,14,3,3,0,56
SSC21231,0,0,0,0,7
SSC21232,104,65,28,22,582
SSC21233,34,28,5,0,147
SSC21234,6,4,3,0,47
SSC21235,7,3,0,0,30
SSC21236,392,211,101,27,2241
SSC21237,1188,691,284,145,7155
SSC21238,424,299,111,55,2179
SSC21239,107,54,51,14,923
SSC21240,15,6,3,3,49
SSC21241,38,28,9,3,490
SSC21242,4,3,0,0,11
SSC21243,8,7,4,0,41
SSC21244,39,42,17,3,153
SSC21245,331,183,42,5,2041
SSC21246,0,0,0,0,10
SSC21247,3,5,3,3,57
SSC21248,3,0,0,0,15
SSC21249,12,16,0,0,55
SSC21250,4,7,0,0,21
SSC21251,12,7,0,0,42
SSC21252,91,36,14,0,316
SSC21253,13,3,4,0,46
SSC21254,6,0,0,0,11
SSC21255,0,0,0,0,0
SSC21256,41,13,11,3,166
SSC21257,0,0,0,0,0
SSC21258,3,0,0,0,7
SSC21259,3,0,0,0,8
SSC21260,59,34,20,0,254
SSC21261,3,0,0,0,4
SSC21262,0,0,0,0,13
SSC21263,15,7,5,0,44
SSC21264,31,37,10,3,147
SSC21265,3,3,0,0,6
SSC21266,9,3,3,0,22
SSC21267,22,14,6,0,71
SSC21268,55,68,84,91,517
SSC21269,16,8,0,0,91
SSC21270,0,0,0,0,0
SSC21271,280,173,77,17,1519
SSC21272,7,5,0,0,37
SSC21273,6,3,0,0,21
SSC21274,129,98,64,37,604
SSC21275,11,13,8,0,64
SSC21276,13,5,0,0,45
SSC21277,3,0,3,0,24
SSC21278,196,128,31,3,831
SSC21279,150,89,32,3,720
SSC21280,6,0,0,0,15
SSC21281,3,3,3,0,38
SSC21282,0,0,0,0,3
SSC21283,0,0,0,0,8
SSC21284,15,8,4,3,60
SSC21285,661,553,377,154,4523
SSC21286,111,82,27,4,604
SSC21287,50,39,23,6,320
SSC21288,6,7,0,0,33
SSC21289,0,0,0,0,3
SSC21290,3,3,3,0,37
SSC21291,0,0,0,0,12
SSC21292,15,10,3,0,89
SSC21293,7,3,4,0,52
SSC21294,10,11,4,0,49
SSC21295,0,0,0,0,8
SSC21296,3,0,0,0,10
SSC21297,3,3,0,0,12
SSC21298,35,15,6,3,175
SSC21299,3,0,0,0,19
SSC21300,12,0,0,0,62
SSC21301,32,21,4,0,201
SSC21302,68,36,8,0,387
SSC21303,32,7,4,3,93
SSC21304,198,127,28,8,1349
SSC21305,3,5,0,0,26
SSC21306,472,368,136,68,2780
SSC21307,686,373,117,32,4052
SSC21308,797,750,490,143,6642
SSC21309,163,76,16,0,819
SSC21310,13,5,0,0,36
SSC21311,133,169,56,11,1135
SSC21312,0,0,0,0,11
SSC21313,10,11,0,0,34
SSC21314,5,0,0,0,34
SSC21315,0,0,0,0,3
SSC21316,3,3,3,0,21
SSC21317,6,0,0,0,27
SSC21318,462,348,218,143,2849
SSC21319,613,305,100,30,6941
SSC21320,299,234,153,57,1655
SSC21321,0,0,0,0,10
SSC21322,16,11,3,0,97
SSC21323,8,9,0,0,36
SSC21324,6,3,0,0,37
SSC21325,13,12,3,0,51
SSC21326,11,6,0,0,44
SSC21327,10,9,0,0,31
SSC21328,2412,1657,801,423,14767
SSC21329,544,383,165,75,3650
SSC21330,0,3,0,0,17
SSC21331,1158,783,297,93,10264
SSC21332,448,301,115,65,2944
SSC21333,22,3,0,0,74
SSC21334,34,21,3,0,200
SSC21335,6,0,0,0,18
SSC21336,47,36,7,0,219
SSC21337,50,32,16,11,214
SSC21338,0,0,0,0,3
SSC21339,32,10,3,0,289
SSC21340,18,11,0,0,95
SSC21341,48,27,6,3,211
SSC21342,13,19,7,0,63
SSC21343,9,5,3,0,61
SSC21344,492,394,219,64,3565
SSC21345,45,15,4,5,212
SSC21346,690,557,305,190,5198
SSC21347,240,88,25,7,1349
SSC21348,8,8,0,0,37
SSC21349,10,11,3,0,51
SSC21350,163,83,15,4,822
SSC21351,39,17,8,0,180
SSC21352,108,52,14,0,570
SSC21353,10,4,3,0,21
SSC21354,387,278,82,18,2793
SSC21355,130,110,89,21,1930
SSC21356,24,14,3,3,95
SSC21357,177,84,36,47,2182
SSC21358,3,0,0,0,7
SSC21359,0,0,0,0,0
SSC21360,37,13,0,0,172
SSC21361,13,21,7,0,78
SSC21362,6,0,4,0,18
SSC21363,3,0,0,0,3
SSC21364,0,0,0,0,0
SSC21365,7,9,3,0,65
SSC21366,528,388,203,44,3652
SSC21367,3,0,0,0,12
SSC21368,0,4,0,0,17
SSC21369,10,5,0,0,62
SSC21370,19,15,0,0,87
SSC21371,6,8,0,0,22
SSC21372,161,118,84,35,1487
SSC21373,4,3,4,0,23
SSC21374,0,3,0,0,12
SSC21375,3,3,0,0,8
SSC21376,81,75,32,3,383
SSC21377,27,11,16,10,144
SSC21378,44,36,18,3,207
SSC21379,0,0,0,0,10
SSC21380,28,8,3,0,148
SSC21381,3,15,0,0,51
SSC21382,0,3,0,0,8
SSC21383,0,0,0,0,0
SSC21384,15,8,0,0,51
SSC21385,82,96,43,17,508
SSC21386,7,12,0,0,35
SSC21387,3,3,0,0,33
SSC21388,166,97,38,8,965
SSC21389,20,13,7,3,70
SSC21390,9,0,3,0,35
SSC21391,331,260,128,63,1967
SSC21392,3,7,6,0,42
SSC21393,26,17,0,0,82
SSC21394,11,3,0,0,47
SSC21395,9,3,9,0,54
SSC21396,36,22,4,0,141
SSC21397,11,7,3,0,45
SSC21398,3,0,0,0,11
SSC21399,0,0,0,0,9
SSC21400,0,0,0,0,3
SSC21401,0,0,0,0,0
SSC21402,7,3,8,0,30
SSC21403,572,253,92,30,4000
SSC21404,528,414,252,128,3247
SSC21405,7,0,0,0,26
SSC21406,586,494,237,98,3444
SSC21407,12,16,4,3,70
SSC21408,18,24,0,0,132
SSC21409,17,13,6,0,81
SSC21410,10,3,3,0,44
SSC21411,34,22,10,0,164
SSC21412,24,14,5,0,110
SSC21413,18,17,5,0,64
SSC21414,3,0,0,0,9
SSC21415,0,0,0,0,3
SSC21416,0,0,0,0,24
SSC21417,25,14,0,0,89
SSC21418,95,68,21,11,472
SSC21419,36,36,11,4,168
SSC21420,30,41,10,3,161
SSC21421,16,4,3,0,71
SSC21422,5,0,0,0,5
SSC21423,0,0,0,0,0
SSC21424,0,0,0,0,0
SSC21425,0,0,0,0,12
SSC21426,156,108,80,19,868
SSC21427,3,0,0,0,7
SSC21428,6,6,0,0,22
SSC21429,0,3,0,0,13
SSC21430,0,4,0,0,11
SSC21431,5,4,0,0,18
SSC21432,0,0,0,0,9
SSC21433,5,9,0,0,28
SSC21434,4,6,3,0,16
SSC21435,86,85,32,5,391
SSC21436,0,0,0,0,0
SSC21437,0,0,0,0,0
SSC21438,322,221,146,71,1597
SSC21439,0,0,0,0,3
SSC21440,473,466,220,101,2275
SSC21441,39,22,13,0,219
SSC21442,15,3,7,3,46
SSC21443,834,586,317,91,8318
SSC21444,13,6,6,0,32
SSC21445,30,13,4,4,168
SSC21446,12,4,3,0,64
SSC21447,256,148,46,21,1194
SSC21448,37,28,8,0,101
SSC21449,3,0,0,0,19
SSC21450,91,79,27,5,611
SSC21451,8,5,0,0,37
SSC21452,7,3,0,0,14
SSC21453,70,62,10,3,394
SSC21454,0,0,3,0,16
SSC21455,6,3,5,0,46
SSC21456,8,7,0,0,25
SSC21457,23,7,4,0,60
SSC21458,1574,907,334,97,10635
SSC21459,106,50,28,0,565
SSC21460,1056,612,241,81,7866
