Week,Lecturer,HTML,PDF,Lab,Topic,Materials,Assessment
1,Didier,week1.html,week1.pdf,,Introduction to data collection methods,,
2,Didier,,week2.pdf,,"Open data: defintions, sources and examples",,
3,Didier,week3.html,,,Case study: macroeconomic data,,
4,Patricia,,,,Data ethics,,Assignment 1 due
5,Patricia,,,,Case study: monitoring the Great Barrier Reef ,,
6,Patricia,,,,Case study: climate and environmental data ,,
7,Di,,,,Case study: US air traffic,,Assignment 2 due
8,Emi,,,lab08.html,Australian census and election data,,
9,Emi,,,lab09.html,International student assessment data,,Assignment 3 due
10,Emi,,,lab10.html,The language of designed experiments,,
11,Di,,,,Case study: Tennis and cricket statistics,,
12,Di,,,,Synthesizing what we have learned,,Assignment 4 due